number,name_stopping,clean_name,pos_vys,po_treb,changed,longitude,latitude
5630,"УЛ. МИХАИЛА ДУДИНА, 25","УЛ. МИХАИЛА ДУДИНА, 25",,False,False,30.327872,60.070109
5631,ПР. АВИАКОНСТРУКТОРОВ,ПР. АВИАКОНСТРУКТОРОВ,,False,False,30.231342,60.02347
5632,"УЛ. ФЁДОРА АБРАМОВА,8","УЛ. ФЁДОРА АБРАМОВА, 8",,False,True,30.338824,60.072594
5633,ЗАРЕЧНАЯ УЛ.. УГ. УЛ. МИХАИЛА ДУДИНА,"ЗАРЕЧНАЯ УЛ., УГ. УЛ. МИХАИЛА ДУДИНА",,False,True,30.324798,60.07191
5634,"УЛ. ФЁДОРА АБРАМОВА, УГ. УЛ. НИКОЛАЯ РУБЦОВА","УЛ. ФЁДОРА АБРАМОВА, УГ. УЛ. НИКОЛАЯ РУБЦОВА",,False,False,30.341099,60.075624
5635,"МЕТРО ""ПИОНЕРСКАЯ""","СТ. МЕТРО ""ПИОНЕРСКАЯ""",,False,True,30.297975,60.001747
5636,УЛИЦА СЕВАСТЬЯНОВА,УЛ. СЕВАСТЬЯНОВА,,False,True,30.33024,59.87192
5637,"СТАНЦИЯ МЕТРО ""ПРОСПЕКТ ВЕТЕРАНОВ""","СТ. МЕТРО ""ПРОСПЕКТ ВЕТЕРАНОВ""",,False,True,30.24523,59.84277
5638,БОГАТЫРСКИЙ ПРОСПЕКТ,БОГАТЫРСКИЙ ПР.,,False,True,30.298586,59.999975
5639,МОСКОВСКИЙ ПРОСПЕКТ,МОСКОВСКИЙ ПР.,,False,True,30.32061,59.87217
5640,ТОРГОВЫЙ ЦЕНТР,ТОРГОВЫЙ ЦЕНТР,,False,False,30.231336,59.837739
5641,АДМИНИСТРАЦИЯ МОСКОВСКОГО РАЙОНА,АДМИНИСТРАЦИЯ МОСКОВСКОГО РАЙОНА,,False,False,30.320247,59.88465
5642,СЕРЕБРИСТЫЙ БУЛЬВАР,СЕРЕБРИСТЫЙ БУЛЬВ.,,False,True,30.284842,60.0107
5643,СПОРТИВНО-КОНЦЕРТНЫЙ КОМПЛЕКС,СПОРТИВНО-КОНЦЕРТНЫЙ КОМПЛЕКС,,False,False,30.33687,59.86955
5644,УЛИЦА ПОДВОДНИКА КУЗЬМИНА,УЛ. ПОДВОДНИКА КУЗЬМИНА,,False,True,30.2556,59.8474
5645,ПОЛИКЛИНИКА № 102,ПОЛИКЛИНИКА № 102,,False,False,30.290747,60.009931
5646,КУЗНЕЦОВСКАЯ УЛИЦА,КУЗНЕЦОВСКАЯ УЛ.,,False,True,30.334208,59.871972
5647,КОЛОМЯЖСКИЙ ПРОСПЕКТ,КОЛОМЯЖСКИЙ ПР.,,False,True,30.295572,60.008933
5648,ДАЧНЫЙ ПРОСПЕКТ,ДАЧНЫЙ ПР.,,False,True,30.2509,59.8453
5649,"УНИВЕРСАМ ""ТАЛЛИНСКИЙ""","УНИВЕРСАМ ""ТАЛЛИНСКИЙ""",,False,False,30.2117,59.8334
5650,"ТЕАТР ""ЗА ЧЁРНОЙ РЕЧКОЙ""","ТЕАТР ""ЗА ЧЁРНОЙ РЕЧКОЙ""",,False,False,30.2905,59.99971
5651,УЛИЦА СЕВАСТЬЯНОВА,УЛ. СЕВАСТЬЯНОВА,,False,True,30.3292,59.87171
5652,ПРАЖСКАЯ УЛИЦА,ПРАЖСКАЯ УЛ.,,False,True,30.40263,59.86206
5653,УЛИЦА ГЕНЕРАЛА СИМОНЯКА,УЛ. ГЕНЕРАЛА СИМОНЯКА,,False,True,30.2033,59.8332
5654,"БОГАТЫРСКИЙ ПРОСПЕКТ, 2","БОГАТЫРСКИЙ ПР., 2",,False,True,30.295814,60.000217
5655,КАРДИОКЛИНИКА,КАРДИОКЛИНИКА,,False,False,30.33212,59.87178
5656,БУХАРЕСТСКАЯ УЛИЦА,БУХАРЕСТСКАЯ УЛ.,,False,True,30.390117,59.858642
5657,СЕРЕБРИСТЫЙ БУЛЬВАР,СЕРЕБРИСТЫЙ БУЛЬВ.,,False,True,30.283389,59.999022
5658,ТРАВМАТОЛОГИЯ,ТРАВМАТОЛОГИЯ,,False,False,30.29495,59.99574
5659,БЛАГОДАТНАЯ УЛИЦА,БЛАГОДАТНАЯ УЛ.,,False,True,30.319758,59.87517
5660,УЛИЦА КОЗЛОВА,УЛ. КОЗЛОВА,,False,True,30.22203,59.83484
5661,УЛИЦА СОЛДАТА КОРЗУНА,УЛ. СОЛДАТА КОРЗУНА,,False,True,30.21748,59.83365
5662,Ж/Д ПЛАТФОРМА СОРТИРОВОЧНАЯ (посадка),"Ж.-Д. ПЛАТФОРМА ""СОРТИРОВОЧНАЯ""",(ПОСАДКА),False,True,30.4241,59.8669
5663,СОФИЙСКАЯ УЛИЦА / ПРОСПЕКТ СЛАВЫ,СОФИЙСКАЯ УЛ. / ПР. СЛАВЫ,,False,True,30.4136,59.8655
5664,КУЗНЕЦОВСКАЯ УЛИЦА,КУЗНЕЦОВСКАЯ УЛ.,,False,True,30.32267,59.87163
5665,ПРОСПЕКТ КОСМОНАВТОВ,ПР. КОСМОНАВТОВ,,False,True,30.34723,59.864203
5666,БЕЛГРАДСКАЯ УЛИЦА,БЕЛГРАДСКАЯ УЛ.,,False,True,30.37137,59.85475
5667,БАССЕЙНАЯ УЛИЦА,БАССЕЙНАЯ УЛ.,,False,True,30.33776,59.86437
5668,ПОЛИКЛИНИКА № 102,ПОЛИКЛИНИКА № 102,,False,False,30.29019,60.01018
5669,БУДАПЕШТСКАЯ УЛИЦА,БУДАПЕШТСКАЯ УЛ.,,False,True,30.38132,59.85638
5670,ПРОСПЕКТ СИЗОВА,ПР. СИЗОВА,,False,True,30.274614,60.012261
5671,СЕРЕБРИСТЫЙ БУЛЬВАР,СЕРЕБРИСТЫЙ БУЛЬВ.,,False,True,30.284114,60.011006
5672,ТОРГОВЫЙ ЦЕНТР,ТОРГОВЫЙ ЦЕНТР,,False,False,30.34892,59.86031
5673,ПРОСПЕКТ ЮРИЯ ГАГАРИНА,ПР. ЮРИЯ ГАГАРИНА,,False,True,30.336372,59.87161
5674,БЕЛГРАДСКАЯ УЛИЦА,БЕЛГРАДСКАЯ УЛ.,,False,True,30.37,59.8549
5675,"МЕТРО ""ПИОНЕРСКАЯ""","СТ. МЕТРО ""ПИОНЕРСКАЯ""",,False,True,30.297894,60.003942
5676,БУДАПЕШТСКАЯ УЛИЦА / ПРОСПЕКТ СЛАВЫ,БУДАПЕШТСКАЯ УЛ. / ПР. СЛАВЫ,,False,True,30.37819,59.85611
5677,ПРОСПЕКТ КОСМОНАВТОВ / УЛИЦА ТИПАНОВА,ПР. КОСМОНАВТОВ / УЛ. ТИПАНОВА,,False,True,30.35413,59.85276
5678,ПРОСПЕКТ КОРОЛЁВА,ПР. КОРОЛЁВА,,False,True,30.294539,60.009572
5679,ПРОСПЕКТ МАРШАЛА ЖУКОВА,ПР. МАРШАЛА ЖУКОВА,,False,True,30.19625,59.83309
5680,СПОРТИВНО-КОНЦЕРТНЫЙ КОМПЛЕКС,СПОРТИВНО-КОНЦЕРТНЫЙ КОМПЛЕКС,,False,False,30.336519,59.86893
5681,УЛИЦА ОРДЖОНИКИДЗЕ,УЛ. ОРДЖОНИКИДЗЕ,,False,True,30.356608,59.842389
5682,УНИВЕРСАМ,УНИВЕРСАМ,,False,False,30.262231,60.010483
5683,УЛИЦА СЕДОВА,УЛ. СЕДОВА,,False,True,30.436474,59.873153
5684,СОФИЙСКАЯ УЛИЦА / ПРОСПЕКТ СЛАВЫ,СОФИЙСКАЯ УЛ. / ПР. СЛАВЫ,,False,True,30.418511,59.866453
5685,"ПРОСПЕКТ КОСМОНАВТОВ, 74","ПР. КОСМОНАВТОВ, 74",,False,True,30.35841,59.8382
